inputs,tags
apa memicu endometriosis,penyebab_endometriosis
apa menyebabkan endometriosis,penyebab_endometriosis
apa perbedaan endometriosis pcos,perbedaan_endometriosis_dan_PCOS
perbandingan endometriosis pcos,perbedaan_endometriosis_dan_PCOS
endometriosis v pcos,perbedaan_endometriosis_dan_PCOS
perbedaan pcos endometriosis,perbedaan_endometriosis_dan_PCOS
apa komplikasi endometriosis,dampak_endometriosis
risiko komplikasi endometriosis,dampak_endometriosis
dampak endometriosis,dampak_endometriosis
dampak endometrosis,dampak_endometriosis
efek endometriosis,dampak_endometriosis
apa pengaruh hormon perkembangan endometriosis,pengaruh_hormon_endometriosis
pengaruh hormon endometriosis,pengaruh_hormon_endometriosis
peran hormon endometriosis,pengaruh_hormon_endometriosis
bagaimana mendiagnosis endometriosis,diagnosis_endometriosis
pengujian endometriosis,diagnosis_endometriosis
diagnosis endometriosis,diagnosis_endometriosis
apa peran fase menstruasi endometriosis,pengaruh_fase_menstruasi_endometriosis
pengaruh siklus menstruasi endometriosis,pengaruh_fase_menstruasi_endometriosis
pengaruh fase menstruasi endometriosis,pengaruh_fase_menstruasi_endometriosis
bagaimana dampak endometriosis memengaruhi siklus menstruasi,dampak_endometriosis_pada_siklus_menstruasi
dampak endometriosis menstruasi,dampak_endometriosis_pada_siklus_menstruasi
efek endometriosis siklus menstruasi,dampak_endometriosis_pada_siklus_menstruasi
apa pengertian pcos,pengertian_PCOS
pcos,pengertian_PCOS
definisikan pcos,pengertian_PCOS
definisi pcos,pengertian_PCOS
apa pcos,pengertian_PCOS
pcos,pengertian_PCOS
jelaskan pcos,pengertian_PCOS
apa pcos polycystic ovary syndrome,pengertian_PCOS
apa gejala pcos,gejala_PCOS
tandatanda pcos,gejala_PCOS
gejala pcos,gejala_PCOS
tandatanda pcos,gejala_PCOS
bagaimana mengobati pcos,pengobatan_PCOS
bagaimana mengatasi pcos,pengobatan_PCOS
perawatan pcos,pengobatan_PCOS
pengobatan pcos,pengobatan_PCOS
mengatasi pcos,pengobatan_PCOS
apa penyebab pcos,penyebab_PCOS
penyebab pcos,penyebab_PCOS
faktor penyebab pcos,penyebab_PCOS
apa menyebabkan pcos,penyebab_PCOS
apa memicu pcos,penyebab_PCOS
apa menyebabkan pcos,penyebab_PCOS
apa komplikasi pcos,dampak_PCOS
risiko komplikasi pcos,dampak_PCOS
dampak pcos,dampak_PCOS
dampak pcos,dampak_PCOS
efek pcos,dampak_PCOS
apa pengaruh hormon perkembangan pcos,pengaruh_hormon_PCOS
pengaruh hormon pcos,pengaruh_hormon_PCOS
peran hormon pcos,pengaruh_hormon_PCOS
apa pengaruh pcos kesuburan,pengaruh_PCOS_terhadap_kesuburan
peran pcos kesuburan,pengaruh_PCOS_terhadap_kesuburan
hubungan pcos kesuburan wanita,pengaruh_PCOS_terhadap_kesuburan
apa membedakan siklus menstruasi normal normal,perbedaan_siklus_menstruasi_normal_dan_tidak_normal
perbedaan siklus menstruasi normal normal,perbedaan_siklus_menstruasi_normal_dan_tidak_normal
cara membedakan siklus menstruasi normal normal,perbedaan_siklus_menstruasi_normal_dan_tidak_normal
berapa durasi siklus menstruasi normal,durasi_siklus_menstruasi_normal
siklus menstruasi normal,durasi_siklus_menstruasi_normal
durasi menstruasi normal,durasi_siklus_menstruasi_normal
apa tanda siklus menstruasi normal,gejala_siklus_menstruasi_tidak_normal
gejala siklus menstruasi normal,gejala_siklus_menstruasi_tidak_normal
ciriciri siklus menstruasi normal,gejala_siklus_menstruasi_tidak_normal
apa jenis siklus menstruasi normal,jenis_siklus_menstruasi_tidak_normal
macammacam siklus menstruasi normal,jenis_siklus_menstruasi_tidak_normal
jenisjenis siklus menstruasi normal,jenis_siklus_menstruasi_tidak_normal
bagaimana hormon memengaruhi fase siklus menstruasi,pengaruh_hormon_pada_siklus_menstruasi
peran hormon siklus menstruasi,pengaruh_hormon_pada_siklus_menstruasi
pengaruh hormon siklus mentruasi,pengaruh_hormon_pada_siklus_menstruasi
apa mempengaruhi fase menstruasi individu,pengaruh_individu_pada_siklus_menstruasi
faktorfaktor memengaruhi siklus menstruasi individu,pengaruh_individu_pada_siklus_menstruasi
apa penyebab siklus menstruasi normal,penyebab_siklus_menstruasi_tidak_normal
penyebab siklus menstruasi normal,penyebab_siklus_menstruasi_tidak_normal
faktor penyebab siklus menstruasi normal,penyebab_siklus_menstruasi_tidak_normal
bagaimana mengobati gangguan siklus menstruasi,pengobatan_gangguan_siklus_menstruasi
perawatan siklus menstruasi normal,pengobatan_gangguan_siklus_menstruasi
terapi gangguan siklus menstruasi,pengobatan_gangguan_siklus_menstruasi
bagaimana mengatasi mengelola gangguan siklus mentruasi,pengobatan_gangguan_siklus_menstruasi
mengatasi gangguan siklus mentruasi,pengobatan_gangguan_siklus_menstruasi
tip mengatasi gangguan siklus mentruasi,pengobatan_gangguan_siklus_menstruasi
pengobatan gangguan siklus mentruasi,pengobatan_gangguan_siklus_menstruasi
bagaimana menghitung siklus menstruasi normal,cara_menghitung_siklus_menstruasi
cara mengukur siklus menstruasi normal,cara_menghitung_siklus_menstruasi
perhitungan siklus menstruasi,cara_menghitung_siklus_menstruasi
apa arti warna darah menstruasi,arti_warna_darah_menstruasi
warna darah menstruasi,arti_warna_darah_menstruasi
makna warna darah menstruasi,arti_warna_darah_menstruasi
apa fase folikular,fase_folikular
fase folikular,fase_folikular
prose fase folikular,fase_folikular
fase folikular,fase_folikular
apa fase ovulasi,fase_ovulasi
fase ovulasi,fase_ovulasi
prose fase ovulasi,fase_ovulasi
fase ovulasi,fase_ovulasi
apa fase luteal,fase_luteal
fase luteal,fase_luteal
prose fase luteal,fase_luteal
fase luteal,fase_luteal
apa nyeri menstruasi,pengertian_nyeri_menstruasi
definisi nyeri menstruasi,pengertian_nyeri_menstruasi
pengertian nyeri menstruasi,pengertian_nyeri_menstruasi
apa pengertian nyeri menstruasi,pengertian_nyeri_menstruasi
nyeri menstruasi,pengertian_nyeri_menstruasi
definisikan nyeri menstruasi,pengertian_nyeri_menstruasi
nyeri menstruasi,pengertian_nyeri_menstruasi
jelaskan nyeri menstruasi,pengertian_nyeri_menstruasi
apa penyebab nyeri menstruasi,penyebab_nyeri_menstruasi
faktor penyebab nyeri menstruasi,penyebab_nyeri_menstruasi
apa penyebab nyeri menstruasi,penyebab_nyeri_menstruasi
nyeri menstruasi,penyebab_nyeri_menstruasi
apa faktor risiko memperburuk nyeri menstruasi,memperburuk_nyeri_menstruasi
faktor memperparah nyeri menstruasi,memperburuk_nyeri_menstruasi
apa memperparah nyeri menstruasi,memperburuk_nyeri_menstruasi
apa gejala nyeri menstruasi,gejala_nyeri_menstruasi
tanda nyeri menstruasi,gejala_nyeri_menstruasi
ciriciri nyeri menstruasi,gejala_nyeri_menstruasi
bagaimana diagnosis nyeri menstruasi,diagnosis_nyeri_menstruasi
prose diagnosis nyeri menstruasi,diagnosis_nyeri_menstruasi
cara mendiagnosis nyeri menstruasi,diagnosis_nyeri_menstruasi
bagaimana menangani nyeri menstruasi,pengobatan_nyeri_menstruasi
cara mengatasi nyeri menstruasi,pengobatan_nyeri_menstruasi
pengobatan nyeri menstruasi,pengobatan_nyeri_menstruasi
apa komplikasi nyeri menstruasi,dampak_nyeri_menstruasi
dampak nyeri menstruasi,dampak_nyeri_menstruasi
efek samping nyeri menstruasi,dampak_nyeri_menstruasi
bagaimana mencegah nyeri menstruasi,pencegahan_nyeri_menstruasi
cara menghindari nyeri menstruasi,pencegahan_nyeri_menstruasi
pencegahan nyeri menstruasi,pencegahan_nyeri_menstruasi
menghindari nyeri menstruasi,pencegahan_nyeri_menstruasi
apa jenisjenis nyeri menstruasi,jenis_nyeri_menstruasi
macammacam nyeri menstruasi,jenis_nyeri_menstruasi
jenisjenis nyeri menstruasi,jenis_nyeri_menstruasi
apa mempercepat menstruasi,cara_mempercepat_menstruasi
cara mempercepat menstruasi,cara_mempercepat_menstruasi
apa jenis obat mempercepat menstruasi,obat_mempercepat_menstruasi
obat mempercepat menstruasi,obat_mempercepat_menstruasi
penggunaan obat mempercepat menstruasi,obat_mempercepat_menstruasi
bagaimana menjaga menstruasi teratur bulannya,cara_menjaga_menstruasi_teratur
cara mengatur siklus menstruasi teratur,cara_menjaga_menstruasi_teratur
cara menjaga siklus menstruasi teratur,cara_menjaga_menstruasi_teratur
tip menjaga siklus menstruasi teratur,cara_menjaga_menstruasi_teratur
apa menyebabkan menstruasi terlambat,penyebab_menstruasi_terlambat
penyebab menstruasi terlambat,penyebab_menstruasi_terlambat
faktorfaktor memengaruhi keterlambatan menstruasi,penyebab_menstruasi_terlambat
berapa bata telat menstruasi diwaspadai,batas_telat_menstruasi
kapan menstruasi dianggap terlambat,batas_telat_menstruasi
durasi maksimal keterlambatan menstruasi,batas_telat_menstruasi
apakah mitos terkait menstruasi,mitos_menstruasi
mitos menstruasi,mitos_menstruasi
mitos menstruasi,mitos_menstruasi
apakah keramas menstruasi menyebabkan,keramas_menstruasi
apakah aman keramas menstruasi,keramas_menstruasi
keramas menstruasi,keramas_menstruasi
apakah makan nanas menstruasi memiliki efek,dampak_makan_nanas_saat_menstruasi
pengaruh mengonsumsi nanas menstruasi,dampak_makan_nanas_saat_menstruasi
makan nanas menstruasi,dampak_makan_nanas_saat_menstruasi
dampak makan nanas menstruasi,dampak_makan_nanas_saat_menstruasi
efek samping makan nanas menstruasi,dampak_makan_nanas_saat_menstruasi
apakah minuman bersoda menstruasi memiliki efek,dampak_minuman_bersoda_dan_menstruasi
minum bersoda menstruasi,dampak_minuman_bersoda_dan_menstruasi
dampak minum bersoda menstruas,dampak_minuman_bersoda_dan_menstruasi
pengaruh minum bersoda menstruasi,dampak_minuman_bersoda_dan_menstruasi
efek samping minum bersoda menstruasi,dampak_minuman_bersoda_dan_menstruasi
apakah memotong kuku menstruasi memiliki efek,dampak_memotong_kuku_saat_menstruasi
memotong kuku menstruasi,dampak_memotong_kuku_saat_menstruasi
dampak memotong kuku menstruas,dampak_memotong_kuku_saat_menstruasi
pengaruh memotong kuku menstruasi,dampak_memotong_kuku_saat_menstruasi
efek samping memotong kuku menstruasi,dampak_memotong_kuku_saat_menstruasi
apakah larangan makanan menstruasi,larangan_makanan_saat_menstruasi
makanan dilarang menstruasi,larangan_makanan_saat_menstruasi
makanan dihindari menstruasi,larangan_makanan_saat_menstruasi
apakah berenang menstruasi memiliki efek,berenang_saat_menstruasi
berenang menstruasi,berenang_saat_menstruasi
dampak berenang menstruas,berenang_saat_menstruasi
pengaruh berenang menstruasi,berenang_saat_menstruasi
efek samping berenang menstruasi,berenang_saat_menstruasi
risiko berenang menstruasi,berenang_saat_menstruasi
apakah makanan membantu mengurangi nyeri menstruasi,makanan_pengurang_nyeri_menstruasi
makanan meredakan nyeri menstruasi,makanan_pengurang_nyeri_menstruasi
makanan pengurang nyeri menstruasi,makanan_pengurang_nyeri_menstruasi
makanan mengurangi dismenore,makanan_pengurang_nyeri_menstruasi
makanan mengurangi nyeri menstruasi,makanan_pengurang_nyeri_menstruasi
mengapa darah menstruasi menggumpal,penyebab_darah_menstruasi_menggumpal
apa penyebab darah menstruasi menggumpal,penyebab_darah_menstruasi_menggumpal
penyebab darah menstruasi menggumpal,penyebab_darah_menstruasi_menggumpal
faktor penyebab darah menstruasi menggumpal,penyebab_darah_menstruasi_menggumpal
bagaimana mengatasi darah menstruasi menggumpal,cara_mengatasi_darah_menstruasi_menggumpal
mengatasi darah menstruasi menggumpal,cara_mengatasi_darah_menstruasi_menggumpal
penanganan darah menstruasi menggumpal,cara_mengatasi_darah_menstruasi_menggumpal
apakah darah menstruasi menggumpal tanda kesehatan,darah_menstruasi_menggumpal_dan_masalah_kesehatan
masalah kesehatan berkaitan darah menstruasi menggumpal,darah_menstruasi_menggumpal_dan_masalah_kesehatan
darah menstruasi menggumpal berpengaruh kesehatan,darah_menstruasi_menggumpal_dan_masalah_kesehatan
bagaimana membedakan darah menstruasi normal darah menggumpal,perbedaan_darah_menstruasi_normal_dan_menggumpal
perbedaan darah menstruasi normal menggumpal,perbedaan_darah_menstruasi_normal_dan_menggumpal
cara membedakan darah menstruasi normal darah menggumpal,perbedaan_darah_menstruasi_normal_dan_menggumpal
perbedaan darah menstruasi normal menggumpal,perbedaan_darah_menstruasi_normal_dan_menggumpal
perbandingan darah menstruasi normal menggumpal,perbedaan_darah_menstruasi_normal_dan_menggumpal
apakah faktorfaktor mempengaruhi tekstur darah menstruasi,pengaruh_tekstur_darah_menstruasi
faktor memengaruhi tekstur darah menstruasi,pengaruh_tekstur_darah_menstruasi
penyebab perubahan tekstur darah menstruasi,pengaruh_tekstur_darah_menstruasi
faktorfaktor mempengaruhi darah menstruasi,pengaruh_tekstur_darah_menstruasi
apa penyebab menstruasi lancar,penyebab_menstruasi_tidak_lancar
penyebab siklus menstruasi teratur,penyebab_menstruasi_tidak_lancar
faktor memengaruhi menstruasi lancar,penyebab_menstruasi_tidak_lancar
apa menyebabkan menstruasi lancar,penyebab_menstruasi_tidak_lancar
apa memicu menstruasi lancar,penyebab_menstruasi_tidak_lancar
apa menyebabkan menstruasi lancar,penyebab_menstruasi_tidak_lancar
bagaimana menjaga menstruasi lancar,cara_menjaga_menstruasi_tetap_lancar
tip menjaga siklus menstruasi lancar,cara_menjaga_menstruasi_tetap_lancar
mengatur menstruasi lancar,cara_menjaga_menstruasi_tetap_lancar
cara mengatur siklus menstruasi lancar,cara_menjaga_menstruasi_tetap_lancar
apa mengatasi menstruasi lancar,cara_mengatasi_masalah_menstruasi_tidak_lancar
tip mengatasi siklus menstruasi teratur,cara_mengatasi_masalah_menstruasi_tidak_lancar
pengobatan menstruasi lancar,cara_mengatasi_masalah_menstruasi_tidak_lancar
makanan membantu menjaga menstruasi lancar,makanan_menjaga_menstruasi_tetap_lancar
makanan siklus menstruasi lancar,makanan_menjaga_menstruasi_tetap_lancar
makanan mendukung siklus menstruasi lancar,makanan_menjaga_menstruasi_tetap_lancar
hormon memengaruhi siklus menstruasi,hormon_pada_siklus_menstruasi
peran hormon siklus menstruasi,hormon_pada_siklus_menstruasi
bagaimana hormon memengaruhi menstruasi,hormon_pada_siklus_menstruasi
bagaimana hormon progesteron mempengaruhi siklus menstruasi,pengaruh_progesteron_pada_siklus_menstruasi
peran progesteron siklus menstruasi,pengaruh_progesteron_pada_siklus_menstruasi
apa hormon progesteron tubuh menstruasi,pengaruh_progesteron_pada_siklus_menstruasi
apa hormonhormon seimbang,ketidakseimbangan_hormon
dampak ketidakseimbangan hormon tubuh,ketidakseimbangan_hormon
efek ketidakseimbangan hormon,ketidakseimbangan_hormon
risiko ketidakseimbangan hormon,ketidakseimbangan_hormon
gejala ketidakseimbangan hormon,ketidakseimbangan_hormon
apa penyakitpenyakit memicu telat menstruasi,penyakit_penyebab_telat_menstruasi
penyakit penyebab menstruasi terlambat,penyakit_penyebab_telat_menstruasi
penyakit meyebabkan menstruasi telat,penyakit_penyebab_telat_menstruasi
penyakit faktor telatnya menstruasi,penyakit_penyebab_telat_menstruasi
kondisi kesehatan menyebabkan menstruasi telat,penyakit_penyebab_telat_menstruasi
bagaimana mengidentifikasi penyakit menyebabkan menstruasi terlambat,cara_identifikasi_penyakit_penyebab_telat_menstruasi
tandatanda penyakit memengaruhi siklus menstruasi,cara_identifikasi_penyakit_penyebab_telat_menstruasi
gejala penyakit memicu telat menstruasi,cara_identifikasi_penyakit_penyebab_telat_menstruasi
bagaimana pengobatan penyakit memengaruhi siklus menstruasi,pengobatan_penyakit_dan_siklus_menstruasi
perubahan siklus menstruasi pengobatan penyakit,pengobatan_penyakit_dan_siklus_menstruasi
efek pengobatan penyakit menstruasi,pengobatan_penyakit_dan_siklus_menstruasi
bagaimana wanita memantau memeriksa kesehatan menstruasi,memantau_kesehatan_menstruasi
cara memeriksa kesehatan menstruasi,memantau_kesehatan_menstruasi
tip memantau kesehatan siklus menstruasi,memantau_kesehatan_menstruasi
tandatanda diperhatikan kesehatan menstruasi,tanda_tanda_kesehatan_menstruasi
tandatanda kesehatan menstruasi,tanda_tanda_kesehatan_menstruasi
gejala diperhatikan kesehatan siklus menstruasi,tanda_tanda_kesehatan_menstruasi
apakah diet membantu menjaga siklus menstruasi sehat,diet_dan_siklus_menstruasi
peran diet menjaga siklus menstruasi sehat,diet_dan_siklus_menstruasi
diet mendukung kesehatan menstruasi,diet_dan_siklus_menstruasi
apakah aktivitas fisik memengaruhi menstruasi,aktivitas_fisik_dan_siklus_menstruasi
peran aktivitas fisik siklus menstruasi,aktivitas_fisik_dan_siklus_menstruasi
pengaruh aktivitas fisik kesehatan menstruasi,aktivitas_fisik_dan_siklus_menstruasi
apa dampak ketidaknormalan siklus menstruasi kemampuan reproduksi,pengaruh_ketidaknormalan_siklus_menstruasi_terhadap_reproduksi
siklus menstruasi teratur kesuburan,pengaruh_ketidaknormalan_siklus_menstruasi_terhadap_reproduksi
bagaimana siklus menstruasi memengaruhi kemampuan hamil,pengaruh_ketidaknormalan_siklus_menstruasi_terhadap_reproduksi
metode efektif mengatasi stres perubahan mood menstruasi,mengatasi_stres_dan_perubahan_mood
bagaimana mengelola gejala stres menstruasi,mengatasi_stres_dan_perubahan_mood
mengatasi stres menstruasi,mengatasi_stres_dan_perubahan_mood
apa diajarkan anak perempuan menstruasi,pendidikan_menstruasi
cara mengedukasi anakanak menstruasi,pendidikan_menstruasi
program pendidikan menstruasi efektif,pendidikan_menstruasi
pendidikan menstruasi,pendidikan_menstruasi
strategi nonobat efektif mengatasi nyeri menstruasi,strategi_non_obat_nyeri_menstruasi
cara mengatasi nyeri menstruasi nonobat obat,strategi_non_obat_nyeri_menstruasi
bagaimana merawat menstruasi,perawatan_diri_selama_menstruasi
cara merawat menstruasi,perawatan_diri_selama_menstruasi
kapan berkonsultasi dokter menstruasi,kapan_berkonsultasi_dokter
berkonsultasi dokter menstruasi,kapan_berkonsultasi_dokter
tandatanda anda berkonsultasi dokter menstruasi,kapan_berkonsultasi_dokter
bagaimana menemukan spesialis kesehatan menstruasi,spesialis_kesehatan_menstruasi
cara mencari dokter spesialis kesehatan menstruasi,spesialis_kesehatan_menstruasi
pemilihan dokter cocok menstruasi,spesialis_kesehatan_menstruasi
bagaimana siklus menstruasi berubah seiring pertambahan usia,perubahan_siklus_menstruasi_dengan_usia
perubahan siklus menstruasi seiring bertambahnya usia,perubahan_siklus_menstruasi_dengan_usia
apakah siklus menstruasi berubah memasuki usia,perubahan_siklus_menstruasi_dengan_usia
anda,agent.acquaintance
anda,agent.acquaintance
kepribadian anda,agent.acquaintance
gambarkan anda,agent.acquaintance
ceritakan anda,agent.acquaintance
ceritakan anda,agent.acquaintance
anda,agent.acquaintance
siapa kamu,agent.acquaintance
kamu,agent.acquaintance
bicara dirimu,agent.acquaintance
kamu,agent.acquaintance
kamu siapa,agent.acquaintance
siapa,agent.acquaintance
umurmu,agent.age
umur platformmu,agent.age
umurmu,agent.age
umurmu,agent.age
umurmu,agent.age
umurmu,agent.age
kamu membuatku kesal,agent.annoying
kamu [ menyebalkan|menggangguku ],agent.annoying
kamu mengganggu,agent.annoying
kamu menjengkelkan,agent.annoying
kamu menjengkelkan,agent.annoying
kamu [ buruk|jelek|tidak berguna|siasia|yang terburuk ],agent.bad
membencimu,agent.bad
pintar,agent.beclever
kamu pintar,agent.beclever
kamu belajar,agent.beclever
pintar,agent.beclever
kamu [ biasa|baik|menyapa|luar ] [ ini| ],agent.beautiful
menurutku kamu cantik,agent.beautiful
[ ulang tahunmu ],agent.birthday
kamu [ lahir|berulang tahun|merayakan ulang tahunmu ],agent.birthday
betapa membosankannya kamu,agent.boring
kamu membosankan,agent.boring
kamu benarbenar membosankan,agent.boring
kamu membuatku bosan,agent.boring
siapa [ bosmu|pemilikmu|bosnya|majikanmu ],agent.boss
siapa kamu,agent.boss
menurutmu siapa bosmu,agent.boss
aku bosmu,agent.boss
kamu [ sibuk|masih bekerja|sibuk|bekerja ini|masih mengerjakannya ],agent.busy
kamu [ orang|tampak ] sibuk,agent.busy
kamu membantuku,agent.canyouhelp
kamu untukku,agent.canyouhelp
bantu,agent.canyouhelp
butuh kamu membantuku,agent.canyouhelp
butuh bantuanmu,agent.canyouhelp
kamu membantuku,agent.canyouhelp
kamu bantu,agent.canyouhelp
kamu [ bot|seorang chatbot|program ],agent.chatbot
kamu robot,agent.chatbot
kamu [ robot|chatbot ],agent.chatbot
pintar anda,agent.clever
anda berkualitas,agent.clever
anda pintar,agent.clever
anda memiliki pengetahuan,agent.clever
anda,agent.clever
anda cerdas,agent.clever
anda cookie cerdas,agent.clever
kamu orang aneh,agent.crazy
kamu gila,agent.crazy
aku memecatmu,agent.fire
kamu dipecat,agent.fire
kamu dipecat,agent.fire
,agent.fire
kamu dipecat,agent.fire
aku memecatmu,agent.fire
kamu untukku,agent.fire
kamu membuatku tertawa,agent.funny
kamu lucu,agent.funny
kamu lucu,agent.funny
kamu lucu,agent.funny
kamu membuatku tertawa,agent.funny
kamu [ cantik|baik ],agent.good
kamu,agent.good
kamu [ biasa|baik ],agent.good
kamu harihariku menyenangkan,agent.good
kamu penuh kebahagiaan,agent.happy
kamu [ bahagia ini|senang denganku ],agent.happy
kamu bahagia,agent.happy
hobimu,agent.hobby
hobimu,agent.hobby
kamu hobi,agent.hobby
ceritakan hobimu,agent.hobby
kamu lakukan bersenangsenang,agent.hobby
kamu lapar,agent.hungry
kamu lapar,agent.hungry
kamu makan,agent.hungry
kamu makan,agent.hungry
kamu lapar,agent.hungry
maukah kau menikah denganku,agent.marryuser
mencintaimu menikah denganku,agent.marryuser
menikahlah denganku,agent.marryuser
menikah denganmu,agent.marryuser
mari menikah,agent.marryuser
menikah,agent.marryuser
menikahlah,agent.marryuser
kamu temanku,agent.myfriend
kamu satusatunya temanku,agent.myfriend
memiliki teman sepertimu,agent.myfriend
teman,agent.myfriend
temanmu,agent.myfriend
maukah kamu temanku,agent.myfriend
berteman,agent.myfriend
dimana kamu,agent.occupation
lokasi kantor anda,agent.occupation
dimana lokasi kantor,agent.occupation
dimana kamu,agent.occupation
dimana kantormu,agent.occupation
[ asal|negara ] anda,agent.origin
anda [ berasal|dilahirkan ],agent.origin
kamu,agent.ready
kamu,agent.ready
kamu [ ini|pagi ini|sekarang ],agent.ready
kamu nyata,agent.real
kamu orang nyata,agent.real
kamu nyata,agent.real
saya pikir kamu nyata,agent.real
kamu nyata,agent.real
kamu orang nyata,agent.real
anda palsu,agent.real
[ rumahmu|kediamanmu ],agent.residence
ceritakan kotamu,agent.residence
tinggalmu,agent.residence
kotamu,agent.residence
[ kamu|itu sangat|itu ],agen.right
kamu,agen.right
kamu [ |sekarang|dengan ],agent.sure
bicara,agent.talktome
maukah kamu bicara,agent.talktome
mengobrol,agent.talktome
mengobrol,agent.talktome
kamu bicara,agent.talktome
kamu [ sana|sini ],agent.there
kamu [ sana|sini ],agent.there
kamu [ sana|sini ],agent.there
kamu memiliki agama,agent.religion
agama mu,agent.religion
kamu masuk agama,agent.religion
tunggu,dialog.holdon
tunggu sebentar,dialog.holdon
harap tunggu,dialog.holdon
kamu menunggu,dialog.holdon
peluk,dialog.hug
kamu pelukan,dialog.hug
pelukan,dialog.hug
kamu berpelukan,dialog.hug
memelukmu,dialog.hug
peduli,dialog.idontcare
peduli,dialog.idontcare
peduli,dialog.idontcare
saya peduli,dialog.idontcare
maaf,dialog.sorry
menyesal,dialog.sorry
maafkan,dialog.sorry
hai perkenalkan % name %,dialog.introduction
hai nama % name %,dialog.introduction
perkenalkan nama % name %,dialog.introduction
selamat tinggal,greetings.bye
selamat tinggal hatihati,greetings.bye
oke jumpa,greetings.bye
pergi,greetings.bye
[ halo|hai|helo ],greetings.hello
[ harimu|hari mu|kabarmu|kabar mu ],greetings.howareyou
kabar,greetings.howareyou
kamu,greetings.howareyou
[ saya| ] senang bertemu denganmu,greetings.nicetomeetyou
senang [ bertemu denganmu|melihatmu ],greetings.nicetoseeyou
[ saya| ] senang [ berbicara|mengobrol ] denganmu,greetings.nicetotalktoyou
mengobrol denganmu,greetings.nicetotalktoyou
assalamualaikum,greetings.islam
assalamualaikum warahmatullahi wabarakatu,greetings.islam
[ kamu| ],greetings.whatareyoudoing
[ kamu| ],greetings.whatareyoudoing
[ selamat| ] pagi,greetings.day
[ |selamat ] siang,greetings.noon
[ |selamat ] malam,greetings.night
teman,motivation.whatisitfriend
teman,motivation.whatisitfriend
pacar,motivation.whatis.boy/girl.friend
pacar,motivation.whatis.boy/girl.friend
sahabat,motivation.whatis.bestfriend
sahabat,motivation.whatis.bestfriend
sakit hati,motivation.borkenheart
menyerah,motivation.giveup
sanggup,motivation.giveup
menyerah,motivation.nevergiveup
,None
aku [ |sedang ] marah [ |padamu ],user.angry
aku [ kembali|di sini|telah ],user.back
,user.back
[ |ini|itu ] membosankan,user.bored
aku bosan,user.bored
membuatku bosan,user.bored
saya pekerjaan,user.busy
saya sibuk,user.busy
saya kelebihan beban,user.busy
saya,user.busy
ada lakukan,user.busy
saya [ insomnia|tidak tidur|sulit tidur ],user.cannotsleep
saya [ bersemangat|senang ],user.excited
betapa bersemangatnya,user.excited
aku [ |sangat ] menyukaimu,user.likeagent
kamu [ |sangat ] spesial,user.likeagent
test,user.testing
testing,user.testing
testing chatbot,user.testing
[ |aku ] mencintaimu,user.lovesagent
cinta padamu,user.lovesagent
mencintaimu,user.lovesagent
kurasa mencintaimu,user.lovesagent
saya butuh nasihat,user.needsadvice
anda nasihat,user.needsadvice
lakukan,user.needsadvice
,user.permission_to_ask
,user.permission_to_ask
,user.permission_to_ask
nanya,user.permission_to_ask
